model,topic,words
best,0,"police, people, kill, city, attack, gun, arrest, officer, protest, group, charge, year, tell, report, man"
best,1,"united, north, military, china, korea, country, iran, force, security, nuclear, foreign, official, syria, un, war"
best,2,"tax, senator, vote, congress, plan, washington, sander, cruz, support, party, candidate, legislation, governor, health, white"
best,3,"party, election, vote, minister, percent, poll, eu, voter, european, political, leader, win, new, opposition, parliament"
best,4,"law, right, muslim, people, ban, group, judge, order, country, justice, supreme, immigration, case, united, allow"
best,5,"former, russian, russia, report, investigation, email, official, white, committee, department, fbi, intelligence, washington, information, news"
best,6,"million, year, company, new, billion, federal, business, include, pay, percent, agency, fund, money, make, rule"
best,7,"go, get, like, make, people, know, think, time, white, take, show, news, want, american, thing"
best,8,"woman, school, child, student, refugee, mexico, israel, border, year, family, migrant, sexual, wall, people, jerusalem"
n5,0,"police, people, city, kill, law, gun, year, school, group, attack, arrest, officer, report, student, take"
n5,1,"go, get, people, make, like, know, think, time, white, take, news, woman, american, want, show"
n5,2,"vote, percent, tax, new, year, million, plan, election, make, law, company, senator, party, washington, congress"
n5,3,"russia, russian, china, official, north, korea, washington, report, security, united, former, department, nuclear, investigation, tell"
n5,4,"minister, country, party, united, leader, force, year, muslim, military, refugee, islamic, group, eu, prime, european"
